Doc No		Score
AP890503-0085  0.162758209440302
AP890306-0011  0.14860532166288443
AP890903-0084  0.13544755880731654
AP891229-0134  0.1326833229132897
AP891229-0151  0.1216263793371822
AP890430-0088  0.12029954610804931
AP890513-0006  0.12029954610804931
AP890504-0074  0.12029954610804931
AP890417-0093  0.12029954610804931
AP890404-0067  0.11322310221934052
AP890501-0032  0.11322310221934052
AP890330-0166  0.11322310221934052
AP890227-0107  0.11322310221934052
AP890322-0010  0.11322310221934052
AP890329-0179  0.11322310221934052
AP891230-0092  0.11056943576107472
AP891228-0014  0.11056943576107472
AP891228-0130  0.11056943576107472
AP890417-0170  0.10614665833063174
AP890312-0007  0.10614665833063174
AP890323-0162  0.10614665833063174
AP890406-0203  0.10614665833063174
AP890420-0075  0.10614665833063174
AP890513-0140  0.10614665833063174
AP890427-0073  0.10614665833063174
AP890330-0032  0.10614665833063174
AP890306-0069  0.10614665833063174
AP890428-0086  0.10614665833063174
AP890227-0043  0.10614665833063174
AP890501-0148  0.10614665833063174
AP890905-0076  0.10294014469356057
AP891229-0076  0.09951249218496726
AP891230-0031  0.09951249218496726
AP891231-0043  0.09951249218496726
AP891227-0109  0.09951249218496726
AP890226-0096  0.09907021444192296
AP890320-0212  0.09907021444192296
AP890419-0091  0.09907021444192296
AP890419-0073  0.09907021444192296
AP890319-0021  0.09907021444192296
AP890428-0186  0.09907021444192296
AP890220-0076  0.09907021444192296
AP890329-0104  0.09907021444192296
AP890407-0146  0.09907021444192296
AP890907-0102  0.09752224234126791
AP891216-0149  0.09752224234126791
AP891215-0214  0.09210433998897526
AP890901-0136  0.09210433998897526
AP891226-0010  0.09210433998897526
AP890923-0048  0.09210433998897526
AP890904-0004  0.09210433998897526
AP890914-0178  0.09210433998897526
AP891116-0194  0.09210433998897526
AP890502-0213  0.09199377055321417
AP890320-0046  0.09199377055321417
AP890427-0138  0.09199377055321417
AP890420-0094  0.09199377055321417
AP890319-0007  0.09199377055321417
AP890225-0064  0.09199377055321417
AP890415-0101  0.09199377055321417
AP890227-0253  0.09199377055321417
AP891229-0063  0.08845554860885979
AP891229-0062  0.08845554860885979
AP891228-0087  0.08845554860885979
AP891228-0054  0.08845554860885979
AP891228-0128  0.08845554860885979
AP891211-0003  0.08668643763668259
AP891114-0012  0.08668643763668259
AP890831-0190  0.08668643763668259
AP891130-0115  0.08668643763668259
AP890713-0198  0.08668643763668259
AP891119-0051  0.08668643763668259
AP890319-0078  0.0849173266645054
AP890417-0056  0.0849173266645054
AP890503-0075  0.0849173266645054
AP890412-0082  0.0849173266645054
AP890215-0141  0.0849173266645054
AP890429-0041  0.0849173266645054
AP890420-0076  0.0849173266645054
AP890504-0151  0.0849173266645054
AP890508-0193  0.0849173266645054
AP890501-0167  0.0849173266645054
AP890426-0172  0.0849173266645054
AP890426-0004  0.0849173266645054
AP890419-0181  0.0849173266645054
AP890411-0141  0.0849173266645054
AP890224-0183  0.0849173266645054
AP890227-0034  0.0849173266645054
AP890416-0070  0.0849173266645054
AP891118-0181  0.08126853528438993
AP891124-0003  0.08126853528438993
AP890908-0076  0.08126853528438993
AP890821-0083  0.08126853528438993
AP891117-0139  0.08126853528438993
AP891110-0098  0.08126853528438993
AP891206-0002  0.08126853528438993
AP890916-0135  0.08126853528438993
AP890713-0219  0.08126853528438993
AP890323-0078  0.07784088277579661
AP890513-0030  0.07784088277579661
AP890215-0183  0.07784088277579661
AP890513-0072  0.07784088277579661
AP890504-0119  0.07784088277579661
AP890412-0211  0.07784088277579661
AP890424-0240  0.07784088277579661
AP890511-0034  0.07784088277579661
AP890401-0056  0.07784088277579661
AP890315-0252  0.07784088277579661
AP890223-0193  0.07784088277579661
AP890412-0168  0.07784088277579661
AP890503-0204  0.07784088277579661
AP890410-0082  0.07784088277579661
AP890501-0006  0.07784088277579661
AP890305-0069  0.07784088277579661
AP890319-0006  0.07784088277579661
AP890413-0147  0.07784088277579661
AP890413-0211  0.07784088277579661
AP890324-0059  0.07784088277579661
AP890419-0153  0.07784088277579661
AP890514-0027  0.07784088277579661
AP890416-0068  0.07784088277579661
AP891230-0044  0.07739860503275231
AP891228-0091  0.07739860503275231
AP891228-0140  0.07739860503275231
AP891230-0100  0.07739860503275231
AP890824-0156  0.07585063293209726
AP891216-0058  0.07585063293209726
AP891218-0060  0.07585063293209726
AP890719-0071  0.07585063293209726
AP890915-0184  0.07585063293209726
AP890915-0178  0.07585063293209726
AP890831-0159  0.07585063293209726
AP890712-0135  0.07585063293209726
AP890911-0100  0.07585063293209726
AP890721-0075  0.07585063293209726
AP891115-0053  0.07585063293209726
AP890830-0062  0.07585063293209726
